id,direccion,telefono,ciudad,idRepLegal
679,883-4332 Ligula Road,030-748-1283,Poucet,82
41,Ap #406-3406 Arcu. Street,035-082-6746,Sint-Lambrechts-Woluwe,92
669,9826 Cras St.,094-285-6931,Bientina,333
543,2771 Aliquam St.,017-824-1804,Anlier,941
234,478-638 Libero Av.,032-610-2915,Jupille-sur-Meuse,431
351,Ap #669-360 Magna. Street,033-776-2709,Prince Albert,942
162,"P.O. Box 841, 8039 Nam Rd.",012-829-1497,Erode,601
772,"P.O. Box 665, 7086 Id, Av.",066-677-3699,Assiniboia,7
454,"527-4136 Vel, Rd.",007-288-2164,Siena,683
65,981-6980 Malesuada Street,079-191-7056,Katihar,490
352,"P.O. Box 380, 9072 Ac St.",061-041-6021,Goulburn,41
897,"P.O. Box 337, 5028 Nisl Rd.",007-380-2656,Frederick,274
976,"P.O. Box 678, 8721 Viverra. St.",013-979-0014,Pontarlier,321
546,Ap #357-2140 Dignissim Rd.,061-985-4710,Baton Rouge,831
224,569-7380 Erat Avenue,096-131-0777,Snellegem,914
117,890 Vulputate St.,022-264-9840,Bolton,648
873,Ap #192-9034 Ut Rd.,042-901-2484,Frankfort,129
81,Ap #635-9468 Cras Road,059-136-9355,Istanbul,350
362,"P.O. Box 282, 9077 Rutrum, Ave",069-693-3713,Saint-Remy,339
158,Ap #650-5133 Ullamcorper. Rd.,096-300-1022,Workington,294
270,755-132 Nec St.,011-112-2822,Mandela,998
867,152-9842 Aliquet. St.,045-109-4372,Flint,549
676,911-8320 Quam Road,090-211-6817,Damme,95
269,"P.O. Box 319, 8870 Faucibus St.",072-022-0614,Erembodegem,497
272,288-8744 Mollis. St.,027-834-3611,Alva,358
996,730-3061 Nunc St.,049-959-7484,Vezirköprü,947
191,Ap #208-2982 Tristique St.,021-159-5599,Bhuj,210
699,644-8921 Donec Street,001-584-3499,Montresta,799
378,"P.O. Box 805, 2314 Elit, Av.",018-078-4083,Cochrane,739
908,"P.O. Box 940, 1698 Gravida. Ave",045-274-0718,Arras,897
854,286-1024 Nibh. Av.,003-995-8421,Wanneroo,268
258,"P.O. Box 366, 8380 Pellentesque, Av.",016-112-2044,Okpoko,180
893,Ap #654-6678 Vehicula Street,013-340-1662,Tay,480
602,"P.O. Box 204, 1760 Morbi Avenue",013-677-9513,Langen,472
611,"Ap #465-4192 A, Road",024-779-1982,Thorold,325
469,490 Sed Avenue,041-432-9107,Monteleone di Spoleto,791
873,Ap #311-1959 Pede. Rd.,093-976-5794,Borgerhout,437
597,6721 Et Rd.,000-772-6950,Evansville,674
600,4814 Sed Road,020-950-5816,Oxford,444
657,504-4397 Diam. Street,043-107-2702,Trieste,700
851,167-8787 Porttitor St.,031-867-5929,Bowling Green,145
694,Ap #146-7544 Ultrices. Ave,034-007-3608,Iowa City,345
852,Ap #526-8112 Tempor St.,026-071-8375,Ashoknagar-Kalyangarh,180
28,9505 Sit Rd.,006-583-2684,San Rafael,818
609,"P.O. Box 973, 5045 Gravida Avenue",036-703-0859,Wodonga,706
702,Ap #899-5601 Nulla. St.,018-685-5950,Bressoux,564
191,Ap #144-2197 Pede Street,006-277-5231,San Giovanni Suergiu,246
635,"P.O. Box 738, 2829 Felis St.",082-710-6219,Habay,163
400,1626 Justo. Rd.,054-905-8604,Comblain-au-Pont,86
716,9193 Mi Street,050-956-7788,Bilbo,859
90,Ap #479-5797 Molestie. Rd.,050-294-3769,Leeuwarden,307
816,1963 Augue Ave,057-196-7825,Bromyard,419
432,Ap #289-1580 Metus Rd.,078-109-7115,Neyveli,644
263,"P.O. Box 687, 6386 Fringilla Rd.",017-723-2690,Adana,734
316,"P.O. Box 419, 6775 Vitae Rd.",096-819-3611,Des Moines,704
459,"P.O. Box 856, 5738 Sed Avenue",005-561-2382,Stockport,94
664,Ap #140-7836 Tellus Street,002-556-9867,Klagenfurt,506
922,"237-7146 Non, Ave",010-028-7062,Castanhal,748
789,Ap #367-8699 Augue Rd.,090-871-2865,Sydney,134
540,4223 Adipiscing Ave,078-306-7750,Port Hope,231
341,Ap #729-7635 Libero Avenue,018-883-7778,Carmarthen,576
66,226-6207 Justo. St.,082-816-8979,Fairbanks,699
101,7203 Urna Rd.,014-441-2875,Clarksville,934
902,3180 Gravida. Rd.,095-273-9449,Grand Falls,977
200,5071 In Rd.,035-964-9055,Ponoka,985
216,"P.O. Box 983, 4634 Facilisis Ave",062-038-9446,Warwick,385
760,1137 Magna Ave,033-526-9996,Lourdes,749
370,Ap #244-6610 Sed Rd.,006-415-9367,Juneau,10
234,261-8287 Posuere Av.,055-464-4186,Meetkerke,682
282,"P.O. Box 720, 5772 Malesuada. Ave",087-378-2265,Port Alice,665
86,689-1974 Curabitur St.,091-198-0920,Palencia,808
642,"P.O. Box 876, 415 Curae; Avenue",043-560-6337,Chester,792
164,"P.O. Box 275, 9627 Tellus Street",078-869-9983,Tufo,168
542,"P.O. Box 653, 935 Mi Avenue",083-364-7989,Allentown,803
615,"P.O. Box 885, 9948 Lacus. Street",072-277-2054,Tuticorin,762
13,128-8260 Eu Avenue,016-108-6387,Montese,596
146,"P.O. Box 339, 5886 Erat. Av.",001-613-7295,Dordrecht,152
246,"P.O. Box 528, 2871 Ipsum Avenue",033-684-3917,Naperville,777
802,236-617 Odio Street,036-220-2889,Nederhasselt,224
579,"P.O. Box 236, 7639 Purus St.",009-821-2382,Smithers,743
451,6722 Ullamcorper St.,051-293-8129,New Glasgow,429
691,Ap #277-316 Mattis Rd.,062-420-1127,Genval,363
689,Ap #934-2848 Consectetuer Rd.,054-778-6586,Neustrelitz,723
323,"P.O. Box 874, 7711 At Road",073-992-4997,Hanret,373
49,"P.O. Box 821, 5414 Egestas Street",056-544-3221,New Quay,516
867,"9901 Vitae, Av.",093-495-0473,San Pietro Avellana,924
841,Ap #737-4409 Fermentum Ave,078-914-7099,Thimon,465
634,357-627 Fringilla. Rd.,058-131-1619,Luino,517
187,"202-7426 Leo, Street",077-470-8587,Steenokkerzeel,460
585,1873 Mauris St.,010-060-6612,Ebenthal in Kärnten,494
560,"P.O. Box 749, 8312 Sagittis Ave",048-573-3977,Toruń,538
151,822-2839 Cursus Rd.,002-519-8272,The Hague,851
730,"P.O. Box 827, 8947 A, Avenue",064-438-0351,Dillenburg,583
475,Ap #341-303 Suspendisse St.,099-890-7728,Austin,236
555,"P.O. Box 894, 9580 Mollis St.",058-095-6412,Waitakere,486
174,6033 Aliquet Ave,011-862-4715,Oyen,522
727,"7422 Elit, Rd.",012-729-1566,Paranaguá,71
225,4356 Mi St.,061-454-2214,Villa Cortese,365
740,176-7177 Vel St.,096-755-1248,Halle,610
990,Ap #626-5394 Donec Ave,030-766-6977,Vollezele,428